Player,Year,Next_Year_Price,future_avg_points,pred_score
Darragh_Joyce,2024,433000,48.0,0.9819324430479184
Matt_Flynn,2024,622000,61.0,0.9819324430479184
Nick_Bryan,2024,623000,71.4,0.9819324430479184
Daniel_Turner,2024,434000,42.3,0.9819324430479184
Tom_Lynch,2024,435000,40.8,0.9819324430479184
Edward_Allan,2024,437000,56.0,0.9819324430479184
Lloyd_Johnston,2024,437000,46.9,0.9819324430479184
Zac_Williams,2024,624000,60.8,0.9819324430479184
Henry_Hustwaite,2024,526000,22.8,0.9819324430479184
Jase_Burgoyne,2024,785000,76.6,0.9819324430479184
Dante_Visentini,2024,443000,54.7,0.9819324430479184
Jordon_Sweet,2024,838000,81.7,0.9819324430479184
Calsher_Dear,2024,445000,43.3,0.9819324430479184
Logan_Morris,2024,445000,43.4,0.9819324430479184
Matt_Roberts,2024,780000,76.1,0.9819324430479184
Sam_Banks,2024,448000,43.7,0.9819324430479184
Joel_Freijah,2024,627000,61.1,0.9819324430479184
Sam_Darcy,2024,778000,75.9,0.9819324430479184
Buku_Khamis,2024,448000,43.7,0.9819324430479184
Noah_Answerth,2024,523000,51.0,0.9819324430479184
Corey_Wagner,2024,628000,61.2,0.9819324430479184
Jackson_Archer,2024,449000,43.8,0.9819324430479184
