Player,Year,Next_Year_Price,future_avg_points,teacher_prob
Tom_Brown,2024,506000,49.3,0.3763312863291035
Finlay_Macrae,2024,468000,39.9,0.37113739408896707
Luke_Nankervis,2024,662000,64.5,0.3703372869867212
Ned_Moyle,2024,749000,77.6,0.3665565479158238
Toby_Conway,2024,656000,75.2,0.3602058070305788
Lachie_Fogarty,2024,521000,50.7,0.35934682783341115
Harry_Sharp,2024,536000,45.7,0.3592132963860952
Jeremy_Howe,2024,662000,64.5,0.35738141533930734
Shane_McAdam,2024,484000,44.3,0.3557893746575552
Brayden_Cook,2024,425000,41.5,0.35483334024031754
Nick_Bryan,2024,623000,71.4,0.3547754462445088
Marc_Pittonet,2024,701000,68.3,0.35202493192204165
Lloyd_Meek,2024,907000,88.4,0.3496347328430468
Connor_Budarick,2024,709000,61.3,0.34855729365267873
Xavier_O'Halloran,2024,488000,47.6,0.34850518904383815
Matthew_Cottrell,2024,512000,49.9,0.3465653766913284
Mitch_Georgiades,2024,652000,63.5,0.3420627596818336
Brady_Hough,2024,600000,58.5,0.3418576834556368
Elijah_Tsatas,2024,600000,36.7,0.33938894085151655
Henry_Hustwaite,2024,526000,22.8,0.3393288205823271
Tom_Cole,2024,656000,64.0,0.3379810811091453
Lachlan_Bramble,2024,704000,68.7,0.33697393614491883
